#,Address,BLOBZ,Points,snapshot_org,golden_blobz,silver_blobz,galxe_leaderboard,blobz_x_fwx,300_bitcoin,questn,gull_network,3960_jk,600_somdej,1000_lqdx,100_op,last_change_to_mint,blobz_invasion,get_golder_blobz,fwx_trading
71,0x2C21E5bDF5A29C6D6Dc89838C4815B539f9f8B89,4999,22,6,1,2,1,1,0,5,1,0,0,0,0,1,2,1,1
71,0x3D635c7E8545710535544E816c54f82deB3BDDb3,4999,22,3,2,3,1,2,0,5,1,0,0,0,1,0,2,1,1
71,0x42F826A51243e72DE658eb5274316F13163A9d84,4999,22,5,1,1,1,1,1,5,1,0,1,0,0,1,2,1,1
71,0x492b30e7B576aC749F2A398BC31F08d8436Ba504,4999,22,3,2,3,1,2,1,5,1,0,0,0,0,0,2,1,1
71,0x4dD7AfA9C43Ea792E5da4C341054c6435c71c12e,4999,22,6,2,2,1,1,0,5,0,0,0,0,0,1,2,1,1
71,0x642a2deCc241887927B3bE5a3a4f857f0b877ccF,4999,22,6,2,2,1,2,0,5,1,0,1,0,0,0,0,1,1
71,0x644e420066Bc23683AB77bA8250079C5BCD4dCa7,4999,22,3,2,3,1,3,0,5,1,0,0,0,0,0,2,1,1
71,0x656b51e1CEaD1d5C2dD64fA68A76aFB7eF91a528,4999,22,6,1,1,1,1,0,5,1,0,0,0,1,1,2,1,1
71,0x84c9c7dc5091AD2cd6a196Cd86581D3A71D551fA,4999,22,6,0,0,3,2,0,5,1,0,1,0,1,1,2,0,0
71,0xA3CbE2F0f98f124c8bCEE4133631beD416669Bd7,4999,22,5,2,2,1,2,1,5,1,0,1,0,0,0,0,1,1
71,0xB9C9552dcE65323B5E3C37E4E6B7f3B05b7981d9,4999,22,5,2,2,1,1,0,5,1,0,0,0,0,1,2,1,1
71,0xF6d4C06ac39Aa51569cb3C61F2B01c836a145Ec3,4999,22,6,2,1,1,2,0,5,1,0,0,0,0,0,2,1,1
71,0xFDC47b435Bd37c6A93034F7F602580A5a52a99dD,4999,22,6,2,2,1,1,0,5,1,0,0,0,0,0,2,1,1
71,0xd930CCafDbD00582D271F8c70Eb7a6ED9aE59ab6,4999,22,5,2,2,1,1,0,5,1,0,1,0,0,0,2,1,1
71,0xdE28390fd2f40252fD4Dc3869315684b9b0D3F9F,4999,22,4,2,2,1,1,0,5,1,0,0,0,1,1,2,1,1
71,0xfd4f03ad7Da48Fbcb203E168526bB24ab698e6eF,4999,22,6,2,2,1,1,0,5,1,0,0,0,0,0,2,1,1
90,0x0aBA973bA5Fac4Fc20c3Ad7047fBC992611583d4,4772,21,6,2,2,1,1,0,5,0,0,0,0,0,0,2,1,1
90,0x20313BF6f3071fAe1F44E23f1aED6950030BD1Db,4772,21,5,2,2,1,1,0,5,1,0,0,0,0,0,2,1,1
90,0x560545E7f8A76D47056e3928abBF44D4432afc2D,4772,21,6,1,1,1,1,0,5,1,0,0,0,0,1,2,1,1
90,0x5844573420899b816f6Ecb91dfbB26D063b3f93A,4772,21,6,1,0,1,3,1,5,1,0,0,0,0,0,2,1,0
